Jacques Maritain,1940
Clarence Erwin Mcclung,1940
George Herbert Meeker,1940
Wesley Clair Mitchell,1940
Charles Samuel Myers,1940
Reinhold Niebuhr,1940
George Stewart Patterson,1940
Frederick Logan Paxson,1940
Henry Augustus Pilsbry,1940
William E. Rappard,1940
Fritz Reiner,1940
William Procter Remington,1940
David Riesman,1940
Franklin Delano Roosevelt,1940
John Ahlum Schaeffer,1940
Albert Schinz,1940
Charles Seymour,1940
Hu Shih,1940
Harold Paul Sloan,1940
Philip Clayton Staples,1940
Alexander Jerry Stoddard,1940
Carl Van Doren,1940
Alan John Bayard Wace,1940
Hermann Weyl,1940
James Thomas Young,1940
Archibald Macleish,1941
Felix Muskett Morley,1941
John William Nason,1941
John Joseph Shaw,1941
Sarah Logan Wister Starr,1941
Francis Henry Taylor,1941
Richard Wilson,1941
Vannevar Bush,1942
Rex Stowers Clements,1942
Henry Sandwith Drinker,1942
Douglas Southall Freeman,1942
Oliver James Hart,1942
George Howard Johnson,1942
Robert Livingston Johnson,1942
Ernest Orlando Lawrence,1942
Katharine Elizabeth Mcbride,1942
Remsen Brinckerhoff Ogilby,1942
Edward Kennard Rand,1942
Wilbert Barnes Smith,1942
Adolphus Eugene Watson,1942
Lewis Hill Weed,1942
William Loren Batt,1943
Edwin Grant Conklin,1943
Rufus Henry Fitzgerald,1943
Ernest Hutcheson,1943
George Johnson,1943
Edward Martin,1943
George Wendell Maxey,1943
Joyce (Jan Struther) Maxtone-Graham,1943
Mildred Helen Mcafee,1943
John Edwin Pomfret,1943
Henning Webb Prentis Jr.,1943
James Steven Simmons,1943
Milo Frederick Draemel,1944
Charles Francis Jenkins,1944
Jacob Clemens Kolb,1944
George Simpson Koyl,1944
Ralph Barton Perry,1944
Edgar Arthur Singer Jr.,1944
Eldridge Lyon Eliason,1945
Alexander Fleming,1945
Virginia Crocheron Gildersleeve,1945
John Flagg Gummere,1945
Fiske Kimball,1945
Edward Felix Kloman,1945
Abraham Aaron Neuman,1945
Samuel Torrey Orton,1945
Walden II Pell,1945
Florence Barbara Seibert,1945
Leslie Richard Severinghaus,1945
Edward Valentine Stanford,1945
Arthur T. Vanderbilt,1945
Harry Shultz Vandiver,1945
Leonard Augustus Yerkes,1945
Henry Harley Arnold,1946
Edwin Garrigues Boring,1946
John Dewey,1946
Robert Herndon Fife,1946
Geoffrey Francis Archbishop of Canterbury Fisher,1946
Henry Herbert Goddard,1946
Wolfgang Kohler,1946
William Shaneline Middleton,1946
Julius Robert Oppenheimer,1946
Quo Tai-Chi,1946
Lewis Madison Terman,1946
Henry St. George Tucker,1946
George Woodward,1946
Efrem Zimbalist,1946
George Frederick Zook,1946
Roger Adams,1947
Chester Irving Barnard,1947
Revelle Wilson Brown,1947
Paul Foster Clark,1947
James Creese,1947
James Henderson Duff,1947
Dwight David Eisenhower,1947
Roland Grubb Kent,1947
Charles Summerfield Redding,1947
Lessing Julius Rosenwald,1947
Sarah Gibson Blanding,1948
James Francis Byrnes,1948
James Byron Drew,1948
George Keith Funston,1948
Walter Woodburn Hyde,1948
William Bomberger Linn,1948
Esmond Ray Long,1948
John Harrison Minnick,1948
Merle Middleton Odgers,1948
Harold Edward Stassen,1948
Detlev Wulf Bronk,1949
Ralph Johnson Bunche,1949
John Foster Dulles,1949
William Wilcox Edel,1949
Thomas Ignatius Parkinson,1949
Alfred Henry Sturtevant,1949
Thomas Knight Finletter,1950
