Name,Gender Guesser,Genderizer,Final
Vernon Benjamin Mountcastle Jr.,male,male,male
Sir Nikolaus Pevsner,unknown,unknown,male
Curt Paul Richter,male,male,male
Lionel Charles Robbins,male,male,male
Walter Alter Rosenblith,male,male,male
Paul Anthony Samuelson,male,male,male
Edward Shils,male,male,male
Frank Stanton,male,male,male
Joan duPlat Taylor,female,unknown,female
Howard Martin Temin,male,male,male
Assadollah Alam,unknown,unknown,female
Edward J. Bloustein,male,male,male
William Gordon Bowen,male,male,male
Gerald Rudolph Ford,male,male,male
Thomas Ashley Graves Jr.,male,male,male
Hrothgar John Habakkuk,unknown,male,male
Avraham Harman,male,male,male
Aloysius Leon Higginbotham Jr.,male,male,male
Matina Souretis Horner,female,female,female
Donald Frederick Hornig,male,male,male
John George Kemeny,male,male,male
Francis Stewart Leland Lyons,male,unknown,male
Walton Brooks Mcdaniel,male,male,male
William James Mcgill,male,male,male
Farhang Mehr,unknown,unknown,male
Alice Rosemary Murray,female,female,female
Hugh Norwood Robson,male,male,male
John Steven Watson,male,male,male
Charles Haynes Wilson,male,male,male
Edward Maitland Wright,male,male,male
Sadie Tanner Mossell Alexander,female,female,female
William Oliver Baker,male,male,male
Louis Barkhouse Flexner,male,male,male
Richard Buckminster Fuller,male,male,male
Grace Murray Hopper,female,female,female
Talcott Parsons,unknown,unknown,male
Howard Charles Petersen,male,male,male
John Robinson Pierce,male,male,male
Cyril Stanley Smith,male,male,male
Sarkes Tarzian,unknown,unknown,male
Morris Wolf,male,male,male
Harold Lionel Zellerbach,male,male,male
Christian Boehmer Anfinsen,male,unknown,male
Mary Eakin Crooks,mostly_female,unknown,female
Leonard Davis,male,male,male
Gerald Maurice Edelman,male,male,male
Jerome Heartwell Holland,male,male,male
Roy Harris Jenkins,male,male,male
Clark Kerr,male,male,male
Leon Levy,male,male,male
John Robert Schrieffer,male,male,male
Ernest Scott,male,male,male
George Pratt Shultz,male,unknown,male
Louise Elkins Sinkler,female,female,female
