,Course Name,Course Code,Sector,Foundation
21,Contexts of Hispanic Culture and Civilization,SPAN 1800,IV: Humanities and Social Science,Cross Cultural Analysis
22,Data Science for Studying Language and the Mind,LING 0700<br>PSYC 2314,VII: Natural Sciences Across Disciplines,Quantitative Data Analysis
23,Decolonizing French Food,AFRC 0081<br>COML 0081<br>FREN 0081,III: Arts and Letters,Cross Cultural Analysis
24,"Diversity, Technology and the Penn Experience",SOCI 0009,I: Society,Cultural Diversity in the U.S.
25,Doctors' Notes,COML 0103,IV: Humanities and Social Science,Cross Cultural Analysis
26,Dostoevsky,COML 2007<br>REES 0480,III: Arts and Letters,Cross Cultural Analysis
27,Earth Systems Science,EESC 1000,VI: Physical World,Quantitative Data Analysis
28,Environmental Chemistry,CHEM 1200,VII: Natural Sciences Across Disciplines,Quantitative Data Analysis
29,Europe: From Fall of Rome to Age of Exploration,HIST 0205,II: History and Tradition,Cross Cultural Analysis
30,First-Year Seminar:  Italian Film and Media Studies,CIMS 0092<br>GSWS 0092<br>ITAL 0092,III: Arts and Letters,Cross Cultural Analysis
31,"First-Year Seminar: Of Horses, Bows and Fermented Milk: The Silk Roads in 10 Objects",HIST 0061<br>NELC 0460,II: History and Tradition,Cross Cultural Analysis
32,Foundations of European Thought: from Rome to the Renaissance,COML 1201<br>HIST 1200,II: History and Tradition,Cross Cultural Analysis
33,French History and Culture until 1789,FREN 1226,II: History and Tradition,Cross Cultural Analysis
34,Gender and Society,ENGL 0159<br>GSWS 0002,I: Society,Cultural Diversity in the U.S.
